governorate;quism;shiakha
North Sinai Governorate;Bir al-Abd;Bir al-Abd
North Sinai Governorate;Qesm Remanah;Qesm Remanah
North Sinai Governorate;El Hassana;Al Hasna City
North Sinai Governorate;El Hassana;Al Maghara
North Sinai Governorate;El Hassana;Village Risan
North Sinai Governorate;Sheikh Zuweid;Abo Taweela
North Sinai Governorate;Sheikh Zuweid;Sheikh Zuweid
North Sinai Governorate;Qesm Al Qosimah;Al Qusaymah
North Sinai Governorate;Bir El Abd;Bir al-Abd
North Sinai Governorate;Qesm Thaleth Al Arish;
North Sinai Governorate;Qesm Than Al Arish;
North Sinai Governorate;El Arish 4;
North Sinai Governorate;El Arish 5;
North Sinai Governorate;Rafah;
North Sinai Governorate;Rafah;Rafah
North Sinai Governorate;Rafah;Al Tayara
North Sinai Governorate;Qesm Remanah;6th of October
North Sinai Governorate;Nakhl;Al Temd
North Sinai Governorate;Nakhl;Bir Gerid
North Sinai Governorate;Nakhl;Al Khefga
North Sinai Governorate;Nakhl;Al Brok
North Sinai Governorate;Nakhl;Nekhel